env/aqi,env/fan_speed,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/n_updates,train/loss,train/approx_kl
2.6015,0.48905,-1.1403000414371491,0,5147,2048,1,1002.5,,,,,,,,,,
1.88275,0.41275,-1.1688000005483627,0,10280,4096,2,2027.57,0.0003,-0.0033071962199755943,-1.092883013188839,0.015576171875,-0.006499171257019043,287.9154005765915,0.2,10,64.81990814208984,0.007969456
1.8021667,0.3201,-0.5498500192165374,0,15407,6144,3,3052.34,0.0003,-0.012025891903613228,-1.0738977517932653,0.171533203125,0.09532827138900757,49.75991798639298,0.2,20,9.904050827026367,0.011751344
1.902875,0.2589,-0.943700031042099,0,20547,8192,4,4079.5,0.0003,-0.00029491904278984294,-1.0636299055069685,0.0037109375,0.05035287141799927,69.8478800535202,0.2,30,16.826858520507812,0.007463079
1.821,0.23162,-0.4392000037431717,0,25700,10240,5,5108.0,0.0003,-0.0023836590815335514,-1.0404847033321858,0.0599609375,0.00806283950805664,195.7870882511139,0.2,40,51.04982376098633,0.009767913
1.6841667,0.205925,-0.42879999995231627,0,30855,12288,6,6137.58,0.0003,-0.003195361790130846,-1.0402607314288617,0.020556640625,0.04377424716949463,24.688841491937637,0.2,50,4.728145122528076,0.00893366
1.5864285,0.18356428,-0.4119999992847443,0,36015,14336,7,7167.98,0.0003,-0.018417759027215652,-0.9697139799594879,0.24267578125,0.24317318201065063,0.4321916814427823,0.2,60,0.06505352258682251,0.018440528
1.514625,0.16450626,-0.9018499928712845,0,41159,16384,8,8191.0,0.0003,-0.01159962052552146,-0.8953553069382906,0.1123046875,-0.07494068145751953,0.16246368613792583,0.2,70,0.04761197417974472,0.015982747
1.6172222,0.1476611,-0.8569499921798706,0,46269,18432,9,9206.84,0.0003,-0.001388349404442124,-0.8522827349603176,0.00361328125,0.2132563591003418,5.19880563467741,0.2,80,1.6139612197875977,0.0041434234
